order_id,delivery_time,dest_id,num,order_id,order_type,ori_id,pickup_time,ox,oy,dx,dy,olng,olat,dlng,dlat
E0001,306,B4596,1,E0001,1,S001,216,-25717.1652294,12922.9276049,-20604.6081201,12047.3948842,121.16359,31.29408,121.21727,31.28618
E0002,402,B2178,1,E0002,1,S002,312,-23260.8901205,-14794.8867565,-17147.2508991,-14743.1305817,121.18938,31.04398,121.253571,31.044447
E0003,384,B3435,2,E0003,1,S060,294,-20807.4722528,-14143.2244276,-21148.9125888,-13311.5791698,121.21514,31.04986,121.211555,31.057364
E0004,531,B3435,2,E0004,1,S060,441,-20807.4722528,-14143.2244276,-21148.9125888,-13311.5791698,121.21514,31.04986,121.211555,31.057364
E0005,315,B4587,3,E0005,1,S060,225,-20807.4722528,-14143.2244276,-19493.6174592,-14718.416177,121.21514,31.04986,121.228935,31.04467
E0006,316,B4587,1,E0006,1,S060,226,-20807.4722528,-14143.2244276,-19493.6174592,-14718.416177,121.21514,31.04986,121.228935,31.04467
E0007,336,B4587,1,E0007,1,S060,246,-20807.4722528,-14143.2244276,-19493.6174592,-14718.416177,121.21514,31.04986,121.228935,31.04467
E0008,454,B5042,2,E0008,1,S060,364,-20807.4722528,-14143.2244276,-20299.4547487,-14091.6899067,121.21514,31.04986,121.220474,31.050325
E0009,568,B5042,1,E0009,1,S060,478,-20807.4722528,-14143.2244276,-20299.4547487,-14091.6899067,121.21514,31.04986,121.220474,31.050325
E0010,654,B5042,2,E0010,1,S060,564,-20807.4722528,-14143.2244276,-20299.4547487,-14091.6899067,121.21514,31.04986,121.220474,31.050325
E0011,695,B5042,1,E0011,1,S060,605,-20807.4722528,-14143.2244276,-20299.4547487,-14091.6899067,121.21514,31.04986,121.220474,31.050325
E0012,641,B5067,1,E0012,1,S060,551,-20807.4722528,-14143.2244276,-21851.5082258,-14078.7231563,121.21514,31.04986,121.204178,31.050442
E0013,313,B0523,1,E0013,1,S060,223,-20807.4722528,-14143.2244276,-20540.7011563,-14048.6890592,121.21514,31.04986,121.217941,31.050713
E0014,342,B0523,3,E0014,1,S060,252,-20807.4722528,-14143.2244276,-20540.7011563,-14048.6890592,121.21514,31.04986,121.217941,31.050713
E0015,376,B0523,1,E0015,1,S060,286,-20807.4722528,-14143.2244276,-20540.7011563,-14048.6890592,121.21514,31.04986,121.217941,31.050713
E0016,488,B7544,1,E0016,1,S060,398,-20807.4722528,-14143.2244276,-20811.6628734,-15085.1424774,121.21514,31.04986,121.215096,31.041361
E0017,335,B7798,1,E0017,1,S060,245,-20807.4722528,-14143.2244276,-20778.3283915,-14003.6933269,121.21514,31.04986,121.215446,31.051119
E0018,379,B7798,2,E0018,1,S060,289,-20807.4722528,-14143.2244276,-20778.3283915,-14003.6933269,121.21514,31.04986,121.215446,31.051119
E0019,710,B7798,1,E0019,1,S060,620,-20807.4722528,-14143.2244276,-20778.3283915,-14003.6933269,121.21514,31.04986,121.215446,31.051119
E0020,454,B7933,1,E0020,1,S060,364,-20807.4722528,-14143.2244276,-19910.6794484,-13539.550158,121.21514,31.04986,121.224556,31.055307
E0021,475,B1499,3,E0021,1,S061,385,-20798.9005289,-14022.4230775,-21355.2054111,-14100.1127531,121.21523,31.05095,121.209389,31.050249
E0022,331,B1958,2,E0022,1,S061,241,-20798.9005289,-14022.4230775,-20628.6089471,-14157.4102742,121.21523,31.05095,121.217018,31.049732
E0023,711,B1958,2,E0023,1,S061,621,-20798.9005289,-14022.4230775,-20628.6089471,-14157.4102742,121.21523,31.05095,121.217018,31.049732
E0024,702,B2853,4,E0024,1,S061,612,-20798.9005289,-14022.4230775,-20513.081157,-14545.7478253,121.21523,31.05095,121.218231,31.046228
E0025,429,B0318,4,E0025,1,S061,339,-20798.9005289,-14022.4230775,-22009.2279459,-14084.0428488,121.21523,31.05095,121.202522,31.050394
E0026,398,B3434,2,E0026,1,S061,308,-20798.9005289,-14022.4230775,-20882.2367336,-14078.7231563,121.21523,31.05095,121.214355,31.050442
E0027,320,B4587,2,E0027,1,S061,230,-20798.9005289,-14022.4230775,-19493.6174592,-14718.416177,121.21523,31.05095,121.228935,31.04467
E0028,358,B4587,3,E0028,1,S061,268,-20798.9005289,-14022.4230775,-19493.6174592,-14718.416177,121.21523,31.05095,121.228935,31.04467
E0029,691,B5042,5,E0029,1,S061,601,-20798.9005289,-14022.4230775,-20299.4547487,-14091.6899067,121.21523,31.05095,121.220474,31.050325
E0030,717,B5067,4,E0030,1,S061,627,-20798.9005289,-14022.4230775,-21851.5082258,-14078.7231563,121.21523,31.05095,121.204178,31.050442
E0031,302,B1207,1,E0031,1,S013,212,-22465.6246238,-14155.4153895,-22524.3885533,-13582.8834863,121.19773,31.04975,121.197113,31.054916
E0032,441,B0679,2,E0032,1,S061,351,-20798.9005289,-14022.4230775,-16223.0285781,-17770.14643,121.21523,31.05095,121.263275,31.017134
E0033,396,B1499,1,E0033,1,S062,306,-20629.3708781,-14175.3642363,-21355.2054111,-14100.1127531,121.21701,31.04957,121.209389,31.050249
E0034,657,B1499,2,E0034,1,S062,567,-20629.3708781,-14175.3642363,-21355.2054111,-14100.1127531,121.21701,31.04957,121.209389,31.050249
E0035,703,B1499,2,E0035,1,S062,613,-20629.3708781,-14175.3642363,-21355.2054111,-14100.1127531,121.21701,31.04957,121.209389,31.050249
E0036,344,B1958,3,E0036,1,S062,254,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0037,351,B1958,5,E0037,1,S062,261,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0038,361,B1958,3,E0038,1,S062,271,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0039,377,B1958,2,E0039,1,S062,287,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0040,428,B1958,1,E0040,1,S062,338,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0041,332,B1207,1,E0041,1,S013,242,-22465.6246238,-14155.4153895,-22524.3885533,-13582.8834863,121.19773,31.04975,121.197113,31.054916
E0042,679,B1958,1,E0042,1,S062,589,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0043,717,B1958,1,E0043,1,S062,627,-20629.3708781,-14175.3642363,-20628.6089471,-14157.4102742,121.21701,31.04957,121.217018,31.049732
E0044,457,B2063,3,E0044,1,S062,367,-20629.3708781,-14175.3642363,-22238.8549055,-14179.3540057,121.21701,31.04957,121.200111,31.049534
E0045,690,B2739,4,E0045,1,S062,600,-20629.3708781,-14175.3642363,-20485.4611577,-13497.4359259,121.21701,31.04957,121.218521,31.055687
E0046,375,B0318,2,E0046,1,S062,285,-20629.3708781,-14175.3642363,-22009.2279459,-14084.0428488,121.21701,31.04957,121.202522,31.050394
E0047,553,B3434,1,E0047,1,S062,463,-20629.3708781,-14175.3642363,-20882.2367336,-14078.7231563,121.21701,31.04957,121.214355,31.050442
E0048,704,B3434,1,E0048,1,S062,614,-20629.3708781,-14175.3642363,-20882.2367336,-14078.7231563,121.21701,31.04957,121.214355,31.050442
E0049,615,B3435,2,E0049,1,S062,525,-20629.3708781,-14175.3642363,-21148.9125888,-13311.5791698,121.21701,31.04957,121.211555,31.057364
E0050,375,B7074,2,E0050,1,S062,285,-20629.3708781,-14175.3642363,-22625.3444127,-14119.2858114,121.21701,31.04957,121.196053,31.050076
E0051,464,B7798,1,E0051,1,S062,374,-20629.3708781,-14175.3642363,-20778.3283915,-14003.6933269,121.21701,31.04957,121.215446,31.051119
E0052,438,B1207,1,E0052,1,S013,348,-22465.6246238,-14155.4153895,-22524.3885533,-13582.8834863,121.19773,31.04975,121.197113,31.054916
E0053,677,B7798,3,E0053,1,S062,587,-20629.3708781,-14175.3642363,-20778.3283915,-14003.6933269,121.21701,31.04957,121.215446,31.051119
E0054,717,B7798,3,E0054,1,S062,627,-20629.3708781,-14175.3642363,-20778.3283915,-14003.6933269,121.21701,31.04957,121.215446,31.051119
E0055,342,B1499,1,E0055,1,S063,252,-20614.1322578,-14177.5807749,-21355.2054111,-14100.1127531,121.21717,31.04955,121.209389,31.050249
E0056,469,B2739,1,E0056,1,S063,379,-20614.1322578,-14177.5807749,-20485.4611577,-13497.4359259,121.21717,31.04955,121.218521,31.055687
E0057,301,B0523,1,E0057,1,S063,211,-20614.1322578,-14177.5807749,-20540.7011563,-14048.6890592,121.21717,31.04955,121.217941,31.050713
E0058,305,B1958,1,E0058,1,S064,215,-20605.5605339,-14176.4725056,-20628.6089471,-14157.4102742,121.21726,31.04956,121.217018,31.049732
E0059,416,B1958,1,E0059,1,S064,326,-20605.5605339,-14176.4725056,-20628.6089471,-14157.4102742,121.21726,31.04956,121.217018,31.049732
E0060,699,B1958,1,E0060,1,S064,609,-20605.5605339,-14176.4725056,-20628.6089471,-14157.4102742,121.21726,31.04956,121.217018,31.049732
E0061,706,B1958,1,E0061,1,S064,616,-20605.5605339,-14176.4725056,-20628.6089471,-14157.4102742,121.21726,31.04956,121.217018,31.049732
E0062,382,B3434,1,E0062,1,S064,292,-20605.5605339,-14176.4725056,-20882.2367336,-14078.7231563,121.21726,31.04956,121.214355,31.050442
E0063,675,B1207,2,E0063,1,S013,585,-22465.6246238,-14155.4153895,-22524.3885533,-13582.8834863,121.19773,31.04975,121.197113,31.054916
E0064,301,B1499,1,E0064,1,S065,211,-20477.9370889,-14173.1476978,-21355.2054111,-14100.1127531,121.2186,31.04959,121.209389,31.050249
E0065,365,B1499,1,E0065,1,S065,275,-20477.9370889,-14173.1476978,-21355.2054111,-14100.1127531,121.2186,31.04959,121.209389,31.050249
E0066,388,B1499,3,E0066,1,S065,298,-20477.9370889,-14173.1476978,-21355.2054111,-14100.1127531,121.2186,31.04959,121.209389,31.050249
E0067,306,B1958,1,E0067,1,S065,216,-20477.9370889,-14173.1476978,-20628.6089471,-14157.4102742,121.2186,31.04959,121.217018,31.049732
E0068,332,B1958,3,E0068,1,S065,242,-20477.9370889,-14173.1476978,-20628.6089471,-14157.4102742,121.2186,31.04959,121.217018,31.049732
E0069,355,B1958,4,E0069,1,S065,265,-20477.9370889,-14173.1476978,-20628.6089471,-14157.4102742,121.2186,31.04959,121.217018,31.049732
E0070,381,B1958,2,E0070,1,S065,291,-20477.9370889,-14173.1476978,-20628.6089471,-14157.4102742,121.2186,31.04959,121.217018,31.049732
E0071,576,B1958,1,E0071,1,S065,486,-20477.9370889,-14173.1476978,-20628.6089471,-14157.4102742,121.2186,31.04959,121.217018,31.049732
E0072,708,B1207,1,E0072,1,S013,618,-22465.6246238,-14155.4153895,-22524.3885533,-13582.8834863,121.19773,31.04975,121.197113,31.054916
